Month,Mins
1/01/2016,8392
1/02/2016,7371
1/03/2016,8906
1/04/2016,8069
1/05/2016,8671
1/06/2016,8001
1/07/2016,7941
1/08/2016,8046
1/09/2016,8175
1/10/2016,8645
1/11/2016,4521
1/12/2016,8321
1/01/2017,8267
1/02/2017,7078
1/03/2017,8790
1/04/2017,7096
1/05/2017,8669
1/06/2017,7106
1/07/2017,7692
1/08/2017,8000
1/09/2017,7956
1/10/2017,8213
1/11/2017,4500
1/12/2017,8001
1/01/2018,8390
1/02/2018,6978
1/03/2018,8705
1/04/2018,7000
1/05/2018,8567
1/06/2018,6500
1/07/2018,7795
1/08/2018,8033
1/09/2018,7763
1/10/2018,8580
1/11/2018,8450
1/12/2018,7945
